Project_No,Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,Language,Methodology,ApplicationType
2470,0.0,0,0,11,0,0,0,457,1.0,1.0,372.55,10805,C#,Incremental,Business Application
2471,0.0,0,0,15,0,0,0,388,1.0,1.0,339.35,9305,CSP,Rapid Application Development (RAD),Business Application
2472,0.0,0,0,10,0,0,0,181,1.0,1.0,301.75,4410,Visual Basic,Waterfall,Real-Time application
2473,0.0,0,0,4,0,0,0,340,1.0,1.0,372.45,7942,ASP,Rapid Application Development,Real-Time application
2474,0.0,0,0,12,0,0,0,432,1.0,1.0,316.85,10251,SQL,Waterfall,Mathematically-Intensive Application
2475,0.0,0,0,12,0,0,0,414,1.0,1.0,297.0,9836,Java,Rapid Application Development,Real-Time application
2476,0.0,0,0,5,0,0,0,393,1.0,1.0,362.6,9189,ASP,Unified Process and its variants,Real-Time Application
2477,0.0,0,0,2,0,0,0,438,1.0,1.0,289.1,10159,C#,Rapid Application Development (RAD),Infrastructure Software
2478,0.0,0,0,11,0,0,0,285,1.0,1.0,338.05,6834,CSP,Personal Software Process (PSP),Business Application
2479,0.0,0,0,6,0,0,0,397,1.0,1.0,320.8,9305,Java,Incremental,Real-Time Application
2480,0.0,0,0,16,0,0,0,328,1.0,1.0,339.35,7942,Oracle,Waterfall,Real-Time application
2481,0.0,0,0,8,0,0,0,510,1.0,1.0,330.0,11960,CSP,Unified Process and its variants,Real-Time application
2482,0.0,0,0,6,0,0,0,398,1.0,1.0,340.1,9328,C#,Multifunctional Teams,Business Application
2483,0.0,0,0,8,0,0,0,518,1.0,1.0,368.25,12145,Visual Basic,Personal Software Process (PSP),Real-Time application
2484,0.0,0,0,2,0,0,0,467,1.0,1.0,294.25,10828,ASP,Waterfall,Real-Time Application
2485,0.0,0,0,20,0,0,0,393,1.0,1.0,308.0,9536,Java,Personal Software Process (PSP),Real-Time application
2486,0.0,0,0,12,0,0,0,300,1.0,1.0,316.85,7204,CSP,Incremental,Infrastructure Software
2487,0.0,0,0,11,0,0,0,378,1.0,1.0,292.8,8981,C,Personal Software Process (PSP),Real-Time application
2488,0.0,0,0,4,0,0,0,298,1.0,1.0,340.45,6973,C#,Rapid Application Development,Infrastructure Software
2489,0.0,0,0,15,0,0,0,333,1.0,1.0,308.0,8035,SQL,Unified Process and its variants,Infrastructure Software
2490,0.0,0,0,17,0,0,0,304,1.0,1.0,294.1,7411,Java,Incremental,Real-Time application
2491,0.0,0,0,10,0,0,0,351,1.0,1.0,340.7,8335,XML,Personal Software Process (PSP),Infrastructure Software
2492,0.0,0,0,12,0,0,0,401,1.0,1.0,365.15,9536,Visual Basic,Rapid Application Development,Infrastructure Software
2493,0.0,0,0,12,0,0,0,380,1.0,1.0,330.0,9051,Oracle,Multifunctional Teams,Real-Time Application
2494,0.0,0,0,11,0,0,0,229,1.0,1.0,372.45,5541,PowerBuilder,Unified Process and its variants,Business Application
2495,0.0,0,0,9,0,0,0,304,1.0,1.0,293.25,7227,Visual Basic,Incremental,Infrastructure Software
2496,0.0,0,0,6,0,0,0,360,1.0,1.0,358.3,8450,.Net,Multifunctional Teams,Real-Time application
2497,0.0,0,0,15,0,0,0,339,1.0,1.0,362.25,8173,Visual Basic,Rapid Application Development,Real-Time application
2498,0.0,0,0,0,0,0,0,409,1.0,1.0,358.3,9443,Java,Incremental,Business Application
2499,0.0,0,0,10,0,0,0,485,1.0,1.0,297.2,11429,XML,Unified Process and its variants,Real-Time Application
2500,0.0,0,0,12,0,0,0,320,1.0,1.0,299.25,7665,XML,Rapid Application Development,Real-Time Application
2501,0.0,0,0,17,0,0,0,219,1.0,1.0,320.8,5449,CSP,Multifunctional Teams,Infrastructure Software
2502,0.0,0,0,6,0,0,0,415,1.0,1.0,302.4,9720,C,Rapid Application Development,Real-Time Application
2503,0.0,0,0,1,0,0,0,222,1.0,1.0,351.4,5149,.Net,Incremental,Mathematically-Intensive Application
2504,0.0,0,0,9,0,0,0,337,1.0,1.0,372.45,7989,ASP,Unified Process and its variants,Infrastructure Software
2505,0.0,0,0,7,0,0,0,322,1.0,1.0,352.0,7596,SQL,Unified Process and its variants,Mathematically-Intensive Application
2506,0.0,0,0,16,0,0,0,350,1.0,1.0,340.7,8450,C,Multifunctional Teams,Real-Time Application
2507,0.0,0,0,10,0,0,0,294,1.0,1.0,288.75,7019,ASP,Multifunctional Teams,Real-Time Application
2508,0.0,0,0,14,0,0,0,323,1.0,1.0,308.0,7781,Oracle,Rapid Application Development,Infrastructure Software
2509,0.0,0,0,18,0,0,0,341,1.0,1.0,382.15,8289,ASP,Incremental,Real-Time Application
2510,0.0,0,0,13,0,0,0,240,1.0,1.0,294.1,5841,DELPHI,Incremental,Real-Time application
2511,0.0,0,0,4,0,0,0,491,1.0,1.0,396.75,11429,C#,Personal Software Process (PSP),Mathematically-Intensive Application
2512,0.0,0,0,6,0,0,0,453,1.0,1.0,338.2,10598,Oracle,Personal Software Process (PSP),Business Application
2513,0.0,0,0,11,0,0,0,591,1.0,1.0,367.5,13899,.Net,Rapid Application Development (RAD),Business Application
2514,0.0,0,0,3,0,0,0,620,1.0,1.0,308.65,14384,ASP,Incremental,Infrastructure Software
2515,0.0,0,0,17,0,0,0,386,1.0,1.0,320.8,9305,ASP,Multifunctional Teams,Mathematically-Intensive Application
2516,0.0,0,0,8,0,0,0,452,1.0,1.0,308.65,10621,C#,Incremental,Business Application
2517,0.0,0,0,9,0,0,0,468,1.0,1.0,296.35,11013,C#,Unified Process and its variants,Infrastructure Software
2518,0.0,0,0,9,0,0,0,395,1.0,1.0,288.9,9328,ASP,Multifunctional Teams,Real-Time Application
2519,0.0,0,0,8,0,0,0,388,1.0,1.0,303.1,9143,CSP,Incremental,Mathematically-Intensive Application
2520,0.0,0,0,7,0,0,0,507,1.0,1.0,398.1,11867,XML,Rapid Application Development (RAD),Real-Time application
2521,0.0,0,0,12,0,0,0,82,1.0,1.0,297.2,2170,C++,Incremental,Real-Time application
2522,0.0,0,0,14,0,0,0,430,1.0,1.0,298.1,10251,.Net,Incremental,Business Application
2523,0.0,0,0,19,0,0,0,345,1.0,1.0,302.55,8404,C,Rapid Application Development,Infrastructure Software
2524,0.0,0,0,5,0,0,0,343,1.0,1.0,293.8,8035,C,Unified Process and its variants,Infrastructure Software
2525,0.0,0,0,1,0,0,0,253,1.0,1.0,355.95,5864,ASP,Personal Software Process (PSP),Mathematically-Intensive Application
2526,0.0,0,0,14,0,0,0,437,1.0,1.0,398.1,10413,DELPHI,Incremental,Real-Time application
2527,0.0,0,0,6,0,0,0,407,1.0,1.0,294.1,9536,XML,Personal Software Process (PSP),Infrastructure Software
2528,0.0,0,0,19,0,0,0,372,1.0,1.0,382.15,9028,C#,Unified Process and its variants,Real-Time application
2529,0.0,0,0,10,0,0,0,399,1.0,1.0,352.2,9443,C,Incremental,Mathematically-Intensive Application
2530,0.0,0,0,8,0,0,0,386,1.0,1.0,330.0,9097,C,Personal Software Process (PSP),Business Application
2531,0.0,0,0,6,0,0,0,432,1.0,1.0,352.2,10113,DELPHI,Waterfall,Infrastructure Software
2532,0.0,0,0,16,0,0,0,298,1.0,1.0,320.6,7250,Oracle,Rapid Application Development (RAD),Infrastructure Software
2533,0.0,0,0,6,0,0,0,383,1.0,1.0,330.0,8981,C,Multifunctional Teams,Business Application
2534,0.0,0,0,0,0,0,0,438,1.0,1.0,296.35,10113,Java,Waterfall,Business Application
2535,0.0,0,0,4,0,0,0,445,1.0,1.0,347.1,10367,PowerBuilder,Rapid Application Development (RAD),Real-Time application
2536,0.0,0,0,16,0,0,0,321,1.0,1.0,362.25,7781,C#,Rapid Application Development,Real-Time Application
2537,0.0,0,0,17,0,0,0,417,1.0,1.0,296.35,10020,DELPHI,Unified Process and its variants,Infrastructure Software
2538,0.0,0,0,7,0,0,0,225,1.0,1.0,320.8,5357,C,Personal Software Process (PSP),Infrastructure Software
2539,0.0,0,0,5,0,0,0,510,1.0,1.0,289.55,11891,XML,Unified Process and its variants,Real-Time Application
2540,0.0,0,0,8,0,0,0,234,1.0,1.0,372.45,5587,C++,Incremental,Mathematically-Intensive Application
2541,0.0,0,0,15,0,0,0,378,1.0,1.0,362.6,9074,.Net,Multifunctional Teams,Infrastructure Software
2542,0.0,0,0,20,0,0,0,268,1.0,1.0,293.15,6649,Oracle,Waterfall,Business Application
2543,0.0,0,0,6,0,0,0,546,1.0,1.0,390.25,12745,Visual Basic,Personal Software Process (PSP),Real-Time Application
2544,0.0,0,0,16,0,0,0,537,1.0,1.0,293.15,12768,DELPHI,Personal Software Process (PSP),Infrastructure Software
2545,0.0,0,0,12,0,0,0,547,1.0,1.0,320.0,12906,Oracle,Unified Process and its variants,Real-Time Application
2546,0.0,0,0,12,0,0,0,329,1.0,1.0,367.5,7873,DELPHI,Rapid Application Development (RAD),Mathematically-Intensive Application
2547,0.0,0,0,21,0,0,0,502,1.0,1.0,370.3,12075,.Net,Waterfall,Infrastructure Software
2548,0.0,0,0,4,0,0,0,445,1.0,1.0,355.55,10367,.Net,Multifunctional Teams,Real-Time application
2549,0.0,0,0,5,0,0,0,310,1.0,1.0,370.3,7273,Oracle,Personal Software Process (PSP),Mathematically-Intensive Application
2550,0.0,0,0,11,0,0,0,262,1.0,1.0,288.75,6303,CSP,Personal Software Process (PSP),Infrastructure Software
2551,0.0,0,0,6,0,0,0,413,1.0,1.0,299.65,9674,C#,Multifunctional Teams,Real-Time application
2552,0.0,0,0,10,0,0,0,419,1.0,1.0,340.1,9905,C#,Unified Process and its variants,Real-Time Application
2553,0.0,0,0,10,0,0,0,617,1.0,1.0,297.0,14476,Oracle,Multifunctional Teams,Real-Time application
2554,0.0,0,0,11,0,0,0,407,1.0,1.0,340.45,9651,Visual Basic,Waterfall,Business Application
2555,0.0,0,0,8,0,0,0,275,1.0,1.0,320.8,6534,SQL,Rapid Application Development (RAD),Business Application
2556,0.0,0,0,8,0,0,0,287,1.0,1.0,334.5,6811,Java,Multifunctional Teams,Mathematically-Intensive Application
2557,0.0,0,0,7,0,0,0,493,1.0,1.0,302.55,11544,Visual Basic,Waterfall,Real-Time application
2558,0.0,0,0,12,0,0,0,524,1.0,1.0,372.55,12375,C,Unified Process and its variants,Real-Time application
2559,0.0,0,0,9,0,0,0,440,1.0,1.0,288.9,10367,Java,Multifunctional Teams,Mathematically-Intensive Application
2560,0.0,0,0,10,0,0,0,370,1.0,1.0,311.6,8774,SQL,Incremental,Real-Time Application
2561,0.0,0,0,6,0,0,0,375,1.0,1.0,294.1,8797,PowerBuilder,Incremental,Infrastructure Software
2562,0.0,0,0,1,0,0,0,329,1.0,1.0,316.85,7619,Oracle,Unified Process and its variants,Real-Time Application
2563,0.0,0,0,4,0,0,0,479,1.0,1.0,297.2,11152,XML,Unified Process and its variants,Real-Time Application
2564,0.0,0,0,11,0,0,0,348,1.0,1.0,288.9,8289,.Net,Rapid Application Development (RAD),Infrastructure Software
2565,0.0,0,0,14,0,0,0,354,1.0,1.0,288.9,8497,C#,Rapid Application Development,Business Application
2566,0.0,0,0,3,0,0,0,335,1.0,1.0,351.4,7804,C#,Rapid Application Development,Infrastructure Software
2567,0.0,0,0,5,0,0,0,421,1.0,1.0,292.8,9836,C#,Unified Process and its variants,Mathematically-Intensive Application
2568,0.0,0,0,14,0,0,0,432,1.0,1.0,368.25,10297,CSP,Unified Process and its variants,Business Application
2569,0.0,0,0,16,0,0,0,245,1.0,1.0,299.65,6026,C#,Incremental,Business Application
2570,0.0,0,0,5,0,0,0,310,1.0,1.0,298.1,7273,Visual Basic,Unified Process and its variants,Business Application
2571,0.0,0,0,16,0,0,0,442,1.0,1.0,371.35,10575,Visual Basic,Personal Software Process (PSP),Infrastructure Software
2572,0.0,0,0,13,0,0,0,351,1.0,1.0,338.2,8404,CSP,Unified Process and its variants,Infrastructure Software
2573,0.0,0,0,10,0,0,0,317,1.0,1.0,297.0,7550,Java,Unified Process and its variants,Mathematically-Intensive Application
2574,0.0,0,0,13,0,0,0,453,1.0,1.0,355.95,10759,Java,Rapid Application Development,Infrastructure Software
2575,0.0,0,0,16,0,0,0,402,1.0,1.0,298.1,9651,Java,Rapid Application Development (RAD),Real-Time Application
2576,0.0,0,0,6,0,0,0,514,1.0,1.0,298.55,12006,XML,Rapid Application Development,Real-Time Application
2577,0.0,0,0,16,0,0,0,436,1.0,1.0,320.0,10436,C,Incremental,Infrastructure Software
2578,0.0,0,0,6,0,0,0,400,1.0,1.0,301.15,9374,XML,Unified Process and its variants,Real-Time Application
2579,0.0,0,0,12,0,0,0,225,1.0,1.0,358.3,5472,CSP,Personal Software Process (PSP),Real-Time application
2580,0.0,0,0,16,0,0,0,453,1.0,1.0,299.25,10828,C++,Rapid Application Development,Business Application
2581,0.0,0,0,13,0,0,0,460,1.0,1.0,297.2,10921,CSP,Rapid Application Development,Business Application
2582,0.0,0,0,8,0,0,0,461,1.0,1.0,338.2,10828,DELPHI,Incremental,Mathematically-Intensive Application
2583,0.0,0,0,15,0,0,0,415,1.0,1.0,355.55,9928,PowerBuilder,Rapid Application Development (RAD),Infrastructure Software
2584,0.0,0,0,9,0,0,0,276,1.0,1.0,296.35,6580,ASP,Personal Software Process (PSP),Real-Time application
2585,0.0,0,0,10,0,0,0,351,1.0,1.0,302.55,8335,PowerBuilder,Incremental,Business Application
2586,0.0,0,0,3,0,0,0,205,1.0,1.0,370.3,4802,C#,Rapid Application Development (RAD),Mathematically-Intensive Application
2587,0.0,0,0,18,0,0,0,210,1.0,1.0,289.55,5264,Visual Basic,Rapid Application Development (RAD),Mathematically-Intensive Application
2588,0.0,0,0,6,0,0,0,504,1.0,1.0,351.4,11775,XML,Unified Process and its variants,Infrastructure Software
2589,0.0,0,0,13,0,0,0,311,1.0,1.0,294.25,7481,Visual Basic,Rapid Application Development (RAD),Infrastructure Software
2590,0.0,0,0,12,0,0,0,313,1.0,1.0,334.5,7504,ASP,Incremental,Mathematically-Intensive Application
2591,0.0,0,0,3,0,0,0,450,1.0,1.0,292.8,10459,ASP,Rapid Application Development,Infrastructure Software
2592,0.0,0,0,8,0,0,0,444,1.0,1.0,293.15,10436,SQL,Rapid Application Development,Real-Time Application
2593,0.0,0,0,17,0,0,0,332,1.0,1.0,330.0,8058,Java,Personal Software Process (PSP),Infrastructure Software
2594,0.0,0,0,6,0,0,0,385,1.0,1.0,294.0,9028,ASP,Incremental,Real-Time application
2595,0.0,0,0,8,0,0,0,471,1.0,1.0,398.5,11059,Java,Personal Software Process (PSP),Mathematically-Intensive Application
2596,0.0,0,0,15,0,0,0,383,1.0,1.0,355.95,9189,C++,Multifunctional Teams,Real-Time application
2597,0.0,0,0,9,0,0,0,434,1.0,1.0,352.0,10228,C#,Rapid Application Development,Infrastructure Software
2598,0.0,0,0,13,0,0,0,316,1.0,1.0,372.45,7596,Visual Basic,Waterfall,Infrastructure Software
2599,0.0,0,0,14,0,0,0,232,1.0,1.0,351.4,5680,C,Multifunctional Teams,Business Application
2600,0.0,0,0,7,0,0,0,420,1.0,1.0,382.15,9859,ASP,Multifunctional Teams,Real-Time Application
2601,0.0,0,0,12,0,0,0,543,1.0,1.0,302.4,12814,PowerBuilder,Rapid Application Development (RAD),Real-Time application
2602,0.0,0,0,12,0,0,0,385,1.0,1.0,367.5,9166,PowerBuilder,Waterfall,Real-Time application
2603,0.0,0,0,11,0,0,0,453,1.0,1.0,355.95,10713,C#,Rapid Application Development (RAD),Real-Time application
2604,0.0,0,0,6,0,0,0,499,1.0,1.0,290.0,11660,C#,Multifunctional Teams,Real-Time Application
2605,0.0,0,0,4,0,0,0,315,1.0,1.0,398.5,7365,DELPHI,Personal Software Process (PSP),Mathematically-Intensive Application
2606,0.0,0,0,15,0,0,0,423,1.0,1.0,294.1,10113,C#,Rapid Application Development (RAD),Business Application
2607,0.0,0,0,9,0,0,0,401,1.0,1.0,311.6,9466,ASP,Rapid Application Development (RAD),Business Application
2608,0.0,0,0,7,0,0,0,368,1.0,1.0,387.9,8658,C++,Multifunctional Teams,Business Application
2609,0.0,0,0,7,0,0,0,317,1.0,1.0,347.1,7481,ASP,Waterfall,Business Application
2610,0.0,0,0,11,0,0,0,364,1.0,1.0,290.0,8658,ASP,Rapid Application Development,Business Application
2611,0.0,0,0,10,0,0,0,411,1.0,1.0,372.55,9720,Java,Personal Software Process (PSP),Infrastructure Software
2612,0.0,0,0,13,0,0,0,311,1.0,1.0,338.2,7481,XML,Unified Process and its variants,Business Application
2613,0.0,0,0,5,0,0,0,356,1.0,1.0,293.25,8335,CSP,Personal Software Process (PSP),Mathematically-Intensive Application
2614,0.0,0,0,10,0,0,0,316,1.0,1.0,340.45,7527,Java,Multifunctional Teams,Infrastructure Software
2615,0.0,0,0,6,0,0,0,494,1.0,1.0,358.3,11544,DELPHI,Rapid Application Development,Infrastructure Software
2616,0.0,0,0,20,0,0,0,475,1.0,1.0,301.75,11429,C#,Rapid Application Development,Real-Time application
2617,0.0,0,0,7,0,0,0,481,1.0,1.0,352.2,11267,ASP,Multifunctional Teams,Business Application
2618,0.0,0,0,8,0,0,0,327,1.0,1.0,382.15,7735,C,Rapid Application Development (RAD),Infrastructure Software
2619,0.0,0,0,0,0,0,0,422,1.0,1.0,293.25,9743,Java,Rapid Application Development,Real-Time Application
2620,0.0,0,0,7,0,0,0,396,1.0,1.0,288.9,9305,CSP,Incremental,Infrastructure Software
2621,0.0,0,0,11,0,0,0,328,1.0,1.0,371.35,7827,XML,Multifunctional Teams,Real-Time application
2622,0.0,0,0,16,0,0,0,248,1.0,1.0,293.15,6095,.Net,Personal Software Process (PSP),Real-Time application
2623,0.0,0,0,15,0,0,0,424,1.0,1.0,320.0,10136,C,Waterfall,Real-Time Application
2624,0.0,0,0,2,0,0,0,374,1.0,1.0,352.0,8681,PowerBuilder,Waterfall,Real-Time application
2625,0.0,0,0,14,0,0,0,523,1.0,1.0,296.35,12398,SQL,Rapid Application Development,Mathematically-Intensive Application
2626,0.0,0,0,13,0,0,0,500,1.0,1.0,301.15,11844,C#,Personal Software Process (PSP),Real-Time application
2627,0.0,0,0,10,0,0,0,215,1.0,1.0,305.85,5195,Oracle,Personal Software Process (PSP),Business Application
2628,0.0,0,0,4,0,0,0,456,1.0,1.0,372.45,10621,DELPHI,Personal Software Process (PSP),Real-Time application
2629,0.0,0,0,8,0,0,0,230,1.0,1.0,289.55,5495,Visual Basic,Personal Software Process (PSP),Real-Time Application
2630,0.0,0,0,11,0,0,0,467,1.0,1.0,311.6,11036,SQL,Rapid Application Development,Real-Time application
2631,0.0,0,0,12,0,0,0,359,1.0,1.0,288.75,8566,SQL,Incremental,Real-Time Application
2632,0.0,0,0,25,0,0,0,460,1.0,1.0,338.05,11198,CSP,Rapid Application Development,Business Application
2633,0.0,0,0,16,0,0,0,462,1.0,1.0,294.1,11036,ASP,Unified Process and its variants,Mathematically-Intensive Application
2634,0.0,0,0,2,0,0,0,373,1.0,1.0,387.9,8658,Visual Basic,Rapid Application Development,Infrastructure Software
2635,0.0,0,0,13,0,0,0,382,1.0,1.0,351.4,9120,Oracle,Unified Process and its variants,Infrastructure Software
2636,0.0,0,0,6,0,0,0,327,1.0,1.0,372.55,7688,C++,Personal Software Process (PSP),Real-Time application
2637,0.0,0,0,6,0,0,0,381,1.0,1.0,290.0,8935,ASP,Incremental,Infrastructure Software
2638,0.0,0,0,10,0,0,0,178,1.0,1.0,365.15,4341,C,Unified Process and its variants,Real-Time Application
2639,0.0,0,0,11,0,0,0,515,1.0,1.0,321.65,12145,Oracle,Rapid Application Development,Infrastructure Software
2640,0.0,0,0,12,0,0,0,338,1.0,1.0,293.65,8081,Visual Basic,Rapid Application Development,Mathematically-Intensive Application
2641,0.0,0,0,9,0,0,0,253,1.0,1.0,299.25,6049,Oracle,Multifunctional Teams,Real-Time Application
2642,0.0,0,0,13,0,0,0,398,1.0,1.0,338.2,9489,C++,Multifunctional Teams,Real-Time Application
2643,0.0,0,0,15,0,0,0,230,1.0,1.0,301.15,5657,SQL,Personal Software Process (PSP),Infrastructure Software
2644,0.0,0,0,15,0,0,0,296,1.0,1.0,301.15,7181,XML,Unified Process and its variants,Mathematically-Intensive Application
2645,0.0,0,0,4,0,0,0,356,1.0,1.0,293.65,8312,C,Multifunctional Teams,Mathematically-Intensive Application
2646,0.0,0,0,19,0,0,0,330,1.0,1.0,289.1,8058,Oracle,Multifunctional Teams,Infrastructure Software
2647,0.0,0,0,15,0,0,0,279,1.0,1.0,301.75,6788,PowerBuilder,Incremental,Mathematically-Intensive Application
2648,0.0,0,0,13,0,0,0,564,1.0,1.0,299.25,13322,ASP,Unified Process and its variants,Real-Time application
2649,0.0,0,0,19,0,0,0,540,1.0,1.0,293.25,12906,Visual Basic,Unified Process and its variants,Real-Time application
2650,0.0,0,0,6,0,0,0,343,1.0,1.0,372.45,8058,.Net,Multifunctional Teams,Infrastructure Software
2651,0.0,0,0,6,0,0,0,334,1.0,1.0,338.05,7850,CSP,Unified Process and its variants,Infrastructure Software
2652,0.0,0,0,15,0,0,0,276,1.0,1.0,340.1,6719,.Net,Waterfall,Real-Time application
2653,0.0,0,0,4,0,0,0,509,1.0,1.0,308.0,11844,.Net,Incremental,Real-Time application
2654,0.0,0,0,14,0,0,0,471,1.0,1.0,320.0,11198,DELPHI,Rapid Application Development,Infrastructure Software
2655,0.0,0,0,21,0,0,0,344,1.0,1.0,298.55,8427,.Net,Multifunctional Teams,Mathematically-Intensive Application
2656,0.0,0,0,14,0,0,0,366,1.0,1.0,297.2,8774,ASP,Waterfall,Infrastructure Software
2657,0.0,0,0,10,0,0,0,472,1.0,1.0,290.0,11129,XML,Personal Software Process (PSP),Infrastructure Software
2658,0.0,0,0,14,0,0,0,426,1.0,1.0,352.2,10159,C++,Rapid Application Development,Mathematically-Intensive Application
2659,0.0,0,0,2,0,0,0,444,1.0,1.0,288.75,10297,Visual Basic,Multifunctional Teams,Real-Time Application
2660,0.0,0,0,2,0,0,0,440,1.0,1.0,308.65,10205,C#,Rapid Application Development,Business Application
2661,0.0,0,0,7,0,0,0,467,1.0,1.0,323.7,10944,PowerBuilder,Incremental,Business Application
2662,0.0,0,0,16,0,0,0,374,1.0,1.0,398.1,9004,C,Personal Software Process (PSP),Infrastructure Software
2663,0.0,0,0,8,0,0,0,428,1.0,1.0,355.55,10067,XML,Personal Software Process (PSP),Infrastructure Software
2664,0.0,0,0,12,0,0,0,485,1.0,1.0,299.65,11475,CSP,Personal Software Process (PSP),Real-Time application
2665,0.0,0,0,13,0,0,0,325,1.0,1.0,297.0,7804,CSP,Unified Process and its variants,Infrastructure Software
2666,0.0,0,0,0,0,0,0,396,1.0,1.0,289.1,9143,XML,Personal Software Process (PSP),Mathematically-Intensive Application
2667,0.0,0,0,15,0,0,0,344,1.0,1.0,294.0,8289,C++,Multifunctional Teams,Business Application
2668,0.0,0,0,18,0,0,0,347,1.0,1.0,311.6,8427,C++,Incremental,Real-Time Application
2669,0.0,0,0,10,0,0,0,664,1.0,1.0,308.65,15562,C#,Multifunctional Teams,Real-Time application
2670,0.0,0,0,1,0,0,0,305,1.0,1.0,362.6,7065,C,Personal Software Process (PSP),Real-Time application
2671,0.0,0,0,16,0,0,0,526,1.0,1.0,316.85,12514,PowerBuilder,Personal Software Process (PSP),Real-Time application
2672,0.0,0,0,12,0,0,0,410,1.0,1.0,301.15,9743,DELPHI,Multifunctional Teams,Real-Time Application
2673,0.0,0,0,5,0,0,0,435,1.0,1.0,293.8,10159,Visual Basic,Personal Software Process (PSP),Mathematically-Intensive Application
2674,0.0,0,0,16,0,0,0,324,1.0,1.0,290.0,7850,PowerBuilder,Unified Process and its variants,Business Application
2675,0.0,0,0,23,0,0,0,340,1.0,1.0,299.65,8381,C#,Incremental,Infrastructure Software
2676,0.0,0,0,8,0,0,0,465,1.0,1.0,367.5,10921,C++,Personal Software Process (PSP),Real-Time Application
2677,0.0,0,0,10,0,0,0,391,1.0,1.0,318.0,9258,DELPHI,Rapid Application Development,Mathematically-Intensive Application
2678,0.0,0,0,12,0,0,0,308,1.0,1.0,372.55,7388,DELPHI,Incremental,Infrastructure Software
2679,0.0,0,0,12,0,0,0,647,1.0,1.0,294.0,15215,C++,Waterfall,Real-Time application
2680,0.0,0,0,16,0,0,0,356,1.0,1.0,338.05,8589,Java,Incremental,Real-Time application
2681,0.0,0,0,4,0,0,0,380,1.0,1.0,294.25,8866,Java,Rapid Application Development,Real-Time Application
2682,0.0,0,0,16,0,0,0,422,1.0,1.0,362.6,10113,.Net,Personal Software Process (PSP),Infrastructure Software
2683,0.0,0,0,13,0,0,0,392,1.0,1.0,340.1,9351,C#,Multifunctional Teams,Business Application
2684,0.0,0,0,13,0,0,0,394,1.0,1.0,293.8,9397,DELPHI,Waterfall,Real-Time application
2685,0.0,0,0,11,0,0,0,349,1.0,1.0,368.25,8312,ASP,Personal Software Process (PSP),Mathematically-Intensive Application
2686,0.0,0,0,7,0,0,0,464,1.0,1.0,352.0,10875,C#,Rapid Application Development,Infrastructure Software
2687,0.0,0,0,4,0,0,0,347,1.0,1.0,302.4,8104,PowerBuilder,Unified Process and its variants,Real-Time Application
2688,0.0,0,0,5,0,0,0,303,1.0,1.0,387.9,7111,ASP,Rapid Application Development,Mathematically-Intensive Application
2689,0.0,0,0,10,0,0,0,534,1.0,1.0,340.1,12560,Visual Basic,Rapid Application Development (RAD),Real-Time application
2690,0.0,0,0,10,0,0,0,407,1.0,1.0,387.9,9628,CSP,Rapid Application Development,Business Application
2691,0.0,0,0,7,0,0,0,376,1.0,1.0,299.65,8843,C++,Rapid Application Development,Infrastructure Software
2692,0.0,0,0,12,0,0,0,377,1.0,1.0,352.2,8981,.Net,Personal Software Process (PSP),Business Application
2693,0.0,0,0,10,0,0,0,251,1.0,1.0,302.55,6026,CSP,Rapid Application Development (RAD),Mathematically-Intensive Application
2694,0.0,0,0,17,0,0,0,334,1.0,1.0,293.15,8104,C++,Rapid Application Development,Infrastructure Software
2695,0.0,0,0,8,0,0,0,296,1.0,1.0,352.2,7019,ASP,Rapid Application Development (RAD),Real-Time application
2696,0.0,0,0,5,0,0,0,284,1.0,1.0,330.0,6673,SQL,Personal Software Process (PSP),Business Application
2697,0.0,0,0,7,0,0,0,380,1.0,1.0,301.2,8935,C++,Multifunctional Teams,Business Application
2698,0.0,0,0,3,0,0,0,435,1.0,1.0,305.85,10113,CSP,Personal Software Process (PSP),Real-Time Application
2699,0.0,0,0,12,0,0,0,479,1.0,1.0,293.8,11336,.Net,Multifunctional Teams,Business Application
2700,0.0,0,0,18,0,0,0,302,1.0,1.0,362.6,7388,XML,Rapid Application Development (RAD),Business Application
2701,0.0,0,0,16,0,0,0,427,1.0,1.0,370.3,10228,CSP,Personal Software Process (PSP),Real-Time Application
2702,0.0,0,0,5,0,0,0,469,1.0,1.0,320.8,10944,XML,Incremental,Business Application
2703,0.0,0,0,6,0,0,0,304,1.0,1.0,292.8,7157,CSP,Personal Software Process (PSP),Real-Time Application
2704,0.0,0,0,14,0,0,0,418,1.0,1.0,289.55,9974,.Net,Waterfall,Real-Time application
2705,0.0,0,0,10,0,0,0,490,1.0,1.0,398.5,11544,SQL,Unified Process and its variants,Infrastructure Software
2706,0.0,0,0,12,0,0,0,424,1.0,1.0,288.75,10067,ASP,Unified Process and its variants,Mathematically-Intensive Application
2707,0.0,0,0,12,0,0,0,367,1.0,1.0,347.1,8751,Visual Basic,Incremental,Infrastructure Software
2708,0.0,0,0,10,0,0,0,356,1.0,1.0,321.65,8450,Visual Basic,Waterfall,Infrastructure Software
2709,0.0,0,0,11,0,0,0,297,1.0,1.0,398.5,7111,C++,Incremental,Business Application
