ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Effort,
2574,362,152,68,41,72,15,348,0,0,19.6,20.4,23.6,24.5,1,0,6,5104,4253,
2575,387,109,118,67,90,7,391,0,0,8.5,8.4,10.2,10.1,1,0,17,4536,3780,
2576,2171,534,319,323,87,0,209,984,70,9.1,15.6,9.1,15.6,1,0,8,14428,12023,
2577,195,57,32,12,140,0,241,0,0,9.2,7.4,11,8.9,1,0,9,531,443,
2578,380,67,103,77,98,20,365,0,0,8.7,9.1,10.5,11,1,0,9,4104,3420,
2579,134,42,11,32,35,14,134,0,0,2.1,2.1,2.6,2.6,1,0,8,536,447,
2580,148,12,49,36,28,15,140,0,0,23.2,24.6,28,29.6,1,0,3,4876,4064,
2581,7633,1240,2455,135,1732,1572,1376,5193,565,3.3,3.5,3.3,3.5,2,0,19,33445,27871,
2582,72,67,5,0,0,0,6,66,0,17.3,17.3,20.9,20.9,1,0,15,3013,2511,
2583,1196,626,108,56,413,5,1208,0,0,6.5,6.5,6.5,6.5,4,0,15,6825,5687,
2584,2323,804,332,0,947,240,636,1552,135,1.7,1.7,1.7,1.7,2,0,6,730,608,
2585,242,97,78,4,43,0,0,222,0,1.3,1.4,1.5,1.7,1,0,2,-1220,-1017,
2586,289,3,100,0,66,145,314,0,0,19.8,18.3,19.8,18.3,2,0,8,6378,5315,
2587,615,546,0,74,7,0,627,0,0,1.5,1.5,1.5,1.5,2,0,8,3093,2578,
2588,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,1,0,10,6037,5031,
2589,487,146,238,53,24,12,45,428,0,2.1,2.2,2.1,2.2,1,0,6,1094,912,
2590,56,19,5,16,10,0,29,21,0,22.3,24.9,26.8,30,1,0,5,4370,3641,
2591,134,78,0,0,63,0,141,0,0,15.1,14.3,18.2,17.3,1,0,8,1765,1471,
2592,226,88,70,19,28,0,92,106,7,11.1,12.2,11.1,12.2,1,0,10,2695,2246,
2593,1390,379,377,133,182,170,1241,0,0,4,4.5,4,4.5,3,0,13,13143,10952,
2594,374,170,4,88,126,10,398,0,0,0.8,0.8,1,0.9,1,0,2,703,586,
2595,397,83,252,16,58,0,409,0,0,18.8,18.2,22.6,22,1,0,7,5277,4397,
2596,235,78,10,123,68,0,13,82,184,4,3.4,4.8,4,1,0,9,1099,916,
2597,1196,626,108,56,413,5,1208,0,0,6.5,6.5,6.5,6.5,4,0,15,6825,5687,
2598,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,1,0,9,6295,5246,
2599,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,1,0,3,1102,919,
2600,222,20,5,93,73,0,47,144,0,11,12.8,13.3,15.5,1,0,4,2686,2239,
2601,406,209,36,125,20,0,102,288,0,13.9,14.5,16.7,17.4,1,0,7,3741,3118,
2602,125,51,9,33,22,0,20,84,11,18.6,20.2,22.4,24.4,1,0,3,3138,2615,
2603,115,76,11,28,0,0,10,105,0,1.7,1.7,1.7,1.7,1,0,1.5,-1038,-865,
2604,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,1,0,2,3743,3119,
2605,756,452,66,127,84,5,302,320,112,4.3,4.4,4.3,4.4,1,0,7,2622,2185,
2606,160,0,21,72,25,40,74,68,16,3,3,3.6,3.6,1,0,2,789,658,
2607,1092,356,84,170,669,21,1300,0,0,4,3.4,4.9,4.1,1,0,13,4029,3358,
2608,141,44,33,44,17,0,5,133,0,8.8,9,10.6,10.9,1,0,2,718,598,
2609,551,188,116,52,114,5,223,231,21,4.4,5.1,5.3,6.2,1,0,13,2806,2338,
2610,309,126,13,59,153,30,381,0,0,8.4,6.8,8.4,6.8,4,0,7.5,3357,2798,
2611,605,155,231,91,105,0,582,0,0,2.8,2.9,3.4,3.5,1,0,8,4284,3570,
2612,1168,516,240,176,314,10,1256,0,0,1.3,1.2,1.3,1.2,3,0,8,7282,6068,
2613,258,12,16,230,0,0,26,232,0,2.3,2.3,2.3,2.3,2,0,5,2935,2446,
2614,51,12,27,0,0,7,7,39,0,6.6,7.3,6.6,7.3,1,0,3,241,201,
2615,115,21,90,4,0,0,94,21,0,16.3,16.3,16.3,16.3,2,0,12,4163,3469,
2616,349,107,93,97,52,0,286,63,0,10.6,10.6,10.6,10.6,1,0,8,3897,3248,
2617,129,19,93,3,10,30,0,155,0,4.9,4.1,4.9,4.1,2,0,15,1646,1371,
2618,406,209,36,125,20,0,102,288,0,13.9,14.5,16.7,17.4,1,0,7,3741,3118,
2619,132,30,50,22,24,0,39,27,60,10.5,11,12.6,13.2,1,0,9,2106,1755,
2620,33,8,7,0,10,15,32,8,0,4.4,3.6,4.4,3.6,2,0,2,-240,-200,
2621,297,150,7,132,0,0,13,264,12,5.2,5.4,5.2,5.4,1,0,6,1560,1300,
2622,70,28,4,15,21,0,39,29,0,8.8,9.1,10.6,10.9,1,0,5,708,590,
2623,98,36,32,9,17,0,45,42,7,13.4,14,16.1,16.8,1,0,11,2537,2114,
2624,1256,270,121,450,90,50,981,0,0,23,29.4,41,52.5,1,0,28,23362,19468,
2625,544,125,104,107,133,0,107,362,0,4.2,4.9,5.1,5.9,1,0,4,1585,1321,
2626,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,1,0,13,3467,2889,
2627,155,120,34,0,0,0,47,107,0,3.1,3.1,3.8,3.8,1,0,10,39,33,
2628,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28,1,0,5,3816,3180,
2629,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,2,0,8,4103,3419,
2630,161,60,38,30,41,0,169,0,0,1.4,1.3,1.4,1.3,1,0,2,-312,-260,
2631,236,27,192,12,37,0,268,0,0,29,25.5,29,25.5,2,0,15,6997,5831,
2632,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13,1,0,6,2345,1954,
2633,288,18,186,21,15,60,300,0,0,4.3,4.2,4.3,4.2,2,0,11,4030,3358,
2634,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1,0,1,136,113,
2635,777,287,159,38,147,45,676,0,0,19.4,22.2,22.2,25.6,2,0,13,9760,8133,
2636,70,28,4,15,21,0,39,29,0,8.8,9.1,10.6,10.9,1,0,5,708,590,
2637,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,1,0,10,6037,5031,
2638,131,30,33,18,35,12,128,0,0,37.8,38.6,45.5,46.6,1,0,13,8110,6759,
2639,236,102,84,52,0,0,238,0,0,2.5,2.5,2.8,2.8,1,0,10,1930,1608,
2640,469,71,170,15,67,96,419,0,0,6.8,7.6,8.2,9.2,1,0,11,5277,4397,
2641,239,39,70,18,62,55,244,0,0,6.9,6.8,6.9,6.8,2,0,10,3213,2678,
2642,166,67,88,6,0,0,37,120,4,15.7,16.2,18.9,19.5,1,0,7,2677,2231,
2643,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,1,0,3,1102,919,
2644,191,44,60,15,49,25,159,34,0,12.7,12.6,12.7,12.6,2,0,11,3633,3028,
2645,804,345,334,0,236,42,957,0,0,14.2,11.9,17.1,14.3,1,0,12,5332,4444,
2646,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,1,0,9,1414,1179,
2647,587,108,119,94,203,0,524,0,0,6.4,7.2,6.4,7.2,3,0,15,6061,5051,
2648,98,35,0,41,20,0,28,68,0,56.5,57.6,68,69.4,1,0,5,10306,8588,
2649,177,40,12,27,38,60,177,0,0,4.5,4.5,5.4,5.4,1,0,8,1713,1428,
2650,3331,1049,519,399,595,360,2922,0,0,14.7,16.8,14.7,16.8,4,0,42,33304,27753,
2651,300,95,82,27,76,0,138,142,0,9.8,10.5,9.8,10.5,1,0,10,2400,2000,
2652,826,255,295,72,157,0,779,0,0,6.5,6.9,6.5,6.9,1,0,42,9829,8191,
2653,51,32,0,16,7,0,0,55,0,17.6,16.3,21.2,19.7,1,0,3,1326,1105,
2654,204,47,43,6,29,104,229,0,0,39.8,35.4,39.8,35.4,1,0,36,11113,9260,
2655,305,59,102,19,60,21,138,123,0,28.5,33.3,34.4,40.2,1,0,10,8222,6852,
2656,136,42,64,0,21,0,0,127,0,4.2,4.5,5.1,5.4,1,0,2,-627,-523,
2657,1463,780,119,223,371,0,1493,0,0,24.6,24.1,24.6,24.1,4,0,23,14759,12300,
2658,77,30,0,20,22,0,7,65,0,27.4,29.3,33,35.3,1,0,4,4679,3899,
2659,115,49,39,0,15,0,53,50,0,12.9,14.4,15.5,17.3,1,0,5,2118,1765,
2660,895,222,271,222,63,0,778,0,0,0.9,1,0.9,1,1,0,7,7579,6316,
2661,153,35,7,57,24,20,143,0,0,18.7,20,21.5,23,2,0,3,4729,3941,
2662,374,170,4,88,126,10,398,0,0,0.8,0.8,1,0.9,1,0,2,703,586,
2663,237,114,11,44,42,0,181,30,0,13.5,15.2,16.3,18.3,1,0,9,3719,3099,
2664,1984,255,1008,192,158,0,1613,0,0,1.3,1.6,1.3,1.6,2,0,11,17277,14398,
2665,1222,503,333,173,150,5,1164,0,0,4.7,5,4.7,5,1,0,20,10225,8521,
2666,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,1,0,15,4098,3415,
2667,505,111,127,18,216,0,472,0,0,9.8,10.5,9.8,10.5,1,0,30,5851,4876,
2668,151,22,0,68,47,0,32,105,0,14.5,16,17.5,19.3,1,0,3,2674,2228,
2669,303,0,266,0,0,25,0,291,0,1.1,1.1,1.3,1.4,1,0,1,92,77,
2670,406,209,36,125,20,0,102,288,0,13.9,14.5,16.7,17.4,1,0,7,3741,3118,
2671,100,24,76,3,7,0,40,70,0,14.3,13,14.3,13,1,0,15,2712,2260,
2672,1634,625,387,223,399,0,1634,0,0,4.3,4.3,4.3,4.3,2,0,12,10958,9132,
2673,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13,1,0,6,2345,1954,
2674,380,67,103,77,98,20,365,0,0,8.7,9.1,10.5,11,1,0,9,4104,3420,
2675,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,1,0,5,1707,1422,
2676,106,65,4,12,14,0,35,53,7,33,36.9,39.8,44.4,1,0,13,7663,6386,
2677,155,120,34,0,0,0,47,107,0,3.1,3.1,3.8,3.8,1,0,10,39,33,
2678,57,27,28,0,0,0,0,55,0,30.5,31.7,36.8,38.1,1,0,4,4801,4001,
2679,132,32,15,13,31,45,136,0,0,4.6,4.4,5.5,5.3,1,0,6,888,740,
2680,406,209,36,125,20,0,102,288,0,13.9,14.5,16.7,17.4,1,0,7,3741,3118,
2681,579,215,81,109,112,0,517,0,0,1.4,1.5,1.4,1.5,1,0,7,3226,2688,
2682,58,15,37,0,0,5,0,57,0,0.4,0.5,0.5,0.5,1,0,2,-1390,-1158,
2683,380,67,103,77,98,20,365,0,0,8.7,9.1,10.5,11,1,0,9,4104,3420,
2684,2190,706,648,236,235,0,1825,0,0,6.6,8,7.6,9.1,2,0,19,18324,15270,
2685,62,19,8,9,15,0,51,0,0,14.2,17.3,15.3,18.6,1,0,5,2900,2417,
2686,85,21,67,3,0,15,22,59,25,12.3,9.9,12.3,9.9,2,0,13,2361,1968,
2687,126,58,15,6,21,40,22,118,0,4.9,4.4,4.9,4.4,2,0,5,451,376,
2688,722,163,0,202,237,20,622,0,0,5.8,6.7,5.8,6.7,1,0,9,5875,4896,
2689,17,12,5,0,0,0,17,0,0,44.8,44.8,44.8,44.8,1,0,11,8279,6899,
2690,213,105,67,41,0,0,52,161,0,3.8,3.8,3.8,3.8,1,0,2.5,88,73,
2691,284,49,83,75,51,5,80,183,0,12.8,13.9,15.5,16.7,1,0,5,3106,2588,
2692,143,63,0,27,45,0,14,121,0,8,8.4,9.6,10.2,1,0,4,423,352,
2693,268,73,105,0,70,0,248,0,0,17.9,19.4,20.6,22.2,2,0,8,4886,4072,
2694,722,163,0,202,237,20,622,0,0,5.8,6.7,5.8,6.7,1,0,9,5875,4896,
2695,276,108,5,75,56,0,177,53,14,1.1,1.2,1.1,1.2,1,0,4,543,453,
2696,76,21,51,3,0,0,63,12,0,7.5,7.6,9,9.1,1,0,5,722,602,
2697,146,46,0,50,41,0,44,93,0,13.6,14.5,16.4,17.4,1,0,6,2331,1942,
2698,276,108,5,75,56,0,177,53,14,1.1,1.2,1.1,1.2,1,0,4,543,453,
2699,826,292,326,155,32,0,396,139,270,13.4,13.7,13.4,13.7,1,0,13,8292,6910,
2700,66,27,12,6,14,0,28,31,0,3.7,4.2,4.5,5,1,0,2,-599,-499,
2701,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,1,0,5,1707,1422,
2702,850,94,348,205,45,74,320,446,0,12.9,14.3,15.5,17.2,1,0,5,8803,7336,
2703,73,36,24,12,0,0,0,72,0,8,8.1,9.6,9.8,1,0,5,495,413,
2704,3963,1184,616,952,1091,42,3885,0,0,4.3,4.4,4.3,4.4,2,0,11,29814,24845,
2705,551,188,116,52,114,5,223,231,21,4.4,5.1,5.3,6.2,1,0,13,2806,2338,
2706,54,36,0,16,0,0,0,52,0,12.7,13.2,15.3,15.9,1,0,1,985,821,
2707,98,45,5,19,28,0,94,3,0,4.1,4.2,5,5,1,0,1,-477,-397,
2708,237,114,11,44,42,0,181,30,0,13.5,15.2,16.3,18.3,1,0,9,3719,3099,
2709,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,4,0,84,27006,22505,
2710,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,1,0,5,1707,1422,
2711,99,81,0,3,15,0,6,93,0,2.4,2.4,2.4,2.4,1,0,3,-1233,-1028,
2712,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,1,0,5,1707,1422,
2713,73,18,14,8,44,0,40,44,0,15.4,13.3,18.5,16.1,1,0,6,894,745,
2714,276,108,5,75,56,0,177,53,14,1.1,1.2,1.1,1.2,1,0,4,543,453,
2715,179,60,44,6,38,40,188,0,0,4.3,4.1,5.2,5,1,0,4,729,607,
2716,170,75,12,23,39,0,108,41,0,9,10.3,9,10.3,4,0,8,3477,2898,
2717,544,125,104,107,133,0,107,362,0,4.2,4.9,5.1,5.9,1,0,4,1585,1321,
2718,804,345,334,0,236,42,957,0,0,14.2,11.9,17.1,14.3,1,0,12,5332,4444,
2719,4562,1098,1278,498,1059,0,3933,0,0,5.8,6.7,5.8,6.7,1,0,15,31009,25841,
2720,252,0,109,143,0,0,109,143,0,27.1,27.1,27.1,27.1,2,0,11,8232,6860,
2721,120,60,48,12,0,0,12,108,0,1.8,1.8,1.8,1.8,1,0,5,-618,-515,
2722,73,0,20,36,10,0,56,10,0,4.9,5.4,5.9,6.5,1,0,1,240,200,
2723,1241,575,45,319,301,0,1240,0,0,8.2,8.2,8.2,8.2,1,0,15,9820,8183,
2724,160,0,21,72,25,40,74,68,16,3,3,3.6,3.6,1,0,2,789,658,
2725,160,0,21,72,25,40,74,68,16,3,3,3.6,3.6,1,0,2,789,658,
2726,316,14,118,14,155,0,139,151,11,8.2,8.6,8.2,8.6,2,0,8,1960,1633,
2727,213,72,43,3,84,30,132,97,3,6,5.5,6,5.5,2,0,12,1616,1347,
2728,3331,1049,519,399,595,360,2922,0,0,14.7,16.8,14.7,16.8,4,0,42,33304,27753,
2729,421,177,22,217,0,5,421,0,0,39.9,39.9,39.9,39.9,1,0,15.5,12772,10643,
2730,348,198,14,33,77,0,10,312,0,2.8,3,3.4,3.6,1,0,3,-1070,-891,
2731,38,30,0,8,0,0,32,0,6,6.5,6.5,6.5,6.5,1,0,4,108,90,
2732,328,124,71,61,66,0,322,0,0,2,2.1,2,2.1,1,0,13,2361,1967,
2733,1634,625,387,223,399,0,1634,0,0,4.3,4.3,4.3,4.3,2,0,12,10958,9132,
2734,466,164,212,12,66,7,461,0,0,3.7,3.7,4.4,4.5,1,0,10,3089,2574,
2735,128,72,18,24,7,0,4,117,0,10.1,10.7,12.2,12.9,1,0,3,889,741,
2736,717,716,13,10,24,0,51,712,0,4.9,4.6,6,5.6,1,0,5,-1951,-1626,
2737,82,38,9,20,14,0,29,52,0,1,1,1.2,1.2,1,0,2,-1139,-949,
2738,1059,299,234,144,217,60,954,0,0,21.6,24,24.9,27.6,2,0,17,13384,11154,
2739,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,1,0,6,2890,2409,
2740,68,21,12,19,15,0,11,56,0,37.1,37.6,44.7,45.3,1,0,4,5978,4982,
2741,109,0,105,0,0,0,0,105,0,2.3,2.4,2.8,2.9,1,0,1,-797,-664,
2742,348,198,14,33,77,0,10,312,0,2.8,3,3.4,3.6,1,0,3,-1070,-891,
2743,286,94,36,44,38,55,267,0,0,6,6.5,6,6.5,1,0,6,2760,2300,
2744,215,58,62,46,51,0,82,135,0,13.2,13.1,15.9,15.7,1,0,8,2339,1950,
2745,213,123,91,28,0,0,36,206,0,10.3,9,10.3,9,1,0,7,1098,915,
2746,101,16,5,39,52,0,112,0,0,4,3.6,4,3.6,1,0,8,458,382,
2747,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,1,0,6,68,57,
2748,280,161,91,0,10,0,262,0,0,5.1,5.4,5.1,5.4,4,0,7,3168,2640,
2749,330,179,26,64,110,0,379,0,0,3.2,2.8,3.2,2.8,1,0,10,1505,1254,
2750,587,108,119,94,203,0,524,0,0,6.4,7.2,6.4,7.2,3,0,15,6061,5051,
2751,421,177,22,217,0,5,421,0,0,39.9,39.9,39.9,39.9,1,0,15.5,12772,10643,
2752,2171,534,319,323,87,0,209,984,70,9.1,15.6,9.1,15.6,1,0,8,14428,12023,
2753,100,61,0,0,0,42,28,75,0,9.3,9,11.2,10.9,1,0,12,1687,1406,
2754,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,1,0,2,2809,2341,
2755,116,34,38,4,30,0,33,73,0,4.8,5.2,4.8,5.2,1,0,2,-350,-292,
2756,3460,484,1831,318,208,142,2756,227,0,9.5,11,9.5,11,4,0,24,35167,29306,
2757,466,164,212,12,66,7,461,0,0,3.7,3.7,4.4,4.5,1,0,10,3089,2574,
2758,59,0,55,0,0,0,11,11,33,83.8,89.9,101,108.3,1,0,6,17505,14587,
2759,264,85,17,26,133,0,157,98,6,10,10.1,12,12.2,1,0,6,1141,951,
2760,82,25,46,0,14,15,100,0,0,5.4,4.4,5.4,4.4,1,0,3,-86,-72,
2761,1093,486,277,126,147,5,788,253,0,2.3,2.5,2.3,2.5,2,0,7,5792,4826,
2762,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,1,0,7,5277,4398,
2763,1390,379,377,133,182,170,1241,0,0,4,4.5,4,4.5,3,0,13,13143,10952,
2764,206,88,23,31,35,0,73,104,0,8.8,10.3,10.7,12.4,1,0,8,2001,1667,
2765,73,36,24,12,0,0,0,72,0,8,8.1,9.6,9.8,1,0,5,495,413,
2766,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,2,0,7,4540,3784,
2767,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,2,0,13,15760,13133,
2768,717,716,13,10,24,0,51,712,0,4.9,4.6,6,5.6,1,0,5,-1951,-1626,
2769,919,458,236,56,58,76,884,0,0,5.2,5.4,6.3,6.6,1,0,6,6497,5415,
2770,55,12,10,14,15,0,9,42,0,42.7,46,51.4,55.5,1,0,1,7907,6589,
2771,42,12,15,3,7,15,52,0,0,59.4,48,59.4,48,1,0,6.4,7442,6201,
2772,62,18,7,6,10,17,7,51,0,32.7,34.9,39.4,42.1,1,0,5,6078,5065,
2773,145,48,10,72,14,0,144,0,0,5.1,5.2,6.2,6.2,1,0,3,1026,855,
2774,99,81,0,3,15,0,6,93,0,2.4,2.4,2.4,2.4,1,0,3,-1233,-1028,
2775,1059,299,234,144,217,60,954,0,0,21.6,24,24.9,27.6,2,0,17,13384,11154,
2776,296,27,166,48,21,50,312,0,0,18.4,17.4,18.4,17.4,2,0,10,6535,5445,
2777,1196,626,108,56,413,5,1208,0,0,6.5,6.5,6.5,6.5,4,0,15,6825,5687,
2778,409,42,201,39,67,60,409,0,0,6.5,6.5,6.5,6.5,2,0,11,5121,4267,
2779,224,110,25,6,49,5,195,0,0,12.9,14.8,14.8,17,2,0,13,4362,3635,
2780,1106,410,267,108,152,25,962,0,0,15,17.2,17.2,19.8,2,0,20,12195,10162,
2781,1810,349,423,377,457,10,1616,0,0,16.2,18.2,16.2,18.2,3,0,35,20825,17354,
2782,1108,279,20,314,273,30,916,0,0,22.6,27.4,24.3,29.4,1,0,6,13622,11352,
2783,496,198,109,67,90,60,524,0,0,20.3,19.2,23.4,22.1,2,0,14,7532,6277,
2784,249,47,26,80,84,0,237,0,0,15.3,16,15.3,16,2,0,9,4875,4063,
2785,75,24,9,0,36,0,0,69,0,4.1,4.4,4.9,5.3,1,0,5,-558,-465,
2786,55,12,10,14,15,0,9,42,0,42.7,46,51.4,55.5,1,0,1,7907,6589,
2787,73,36,24,12,0,0,0,72,0,8,8.1,9.6,9.8,1,0,5,495,413,
2788,104,32,5,40,28,10,115,0,0,3.3,2.9,4.9,4.5,4,0,2,1364,1137,
2789,397,83,252,16,58,0,409,0,0,18.8,18.2,22.6,22,1,0,7,5277,4397,
2790,387,88,221,37,34,0,18,362,0,6,6.1,7.3,7.4,1,0,7,1339,1116,
2791,65,0,64,0,0,0,54,10,0,7.7,7.9,9.3,9.5,1,0,2,452,377,
2792,123,28,0,47,15,25,115,0,0,15.4,16.5,17.7,18.9,2,0,3,3781,3150,
2793,164,52,56,18,7,20,110,43,0,17,18.2,17,18.2,2,0,11,4891,4076,
2794,143,63,0,27,45,0,14,121,0,8,8.4,9.6,10.2,1,0,4,423,352,
2795,1093,486,277,126,147,5,788,253,0,2.3,2.5,2.3,2.5,2,0,7,5792,4826,
2796,70,24,0,3,42,5,74,0,0,7.7,7.3,9.4,8.9,2,0,3,424,353,
2797,465,48,162,0,196,37,443,0,0,4.3,4.5,5.2,5.5,1,0,4,2013,1678,
2798,360,122,98,54,62,0,336,0,0,2.1,2.3,2.1,2.3,1,0,18,3242,2702,
2799,134,43,0,77,36,0,156,0,0,9.1,7.8,10.9,9.4,1,0,5,1331,1109,
2800,62,33,0,12,10,0,22,33,0,9.6,10.8,11.5,13,1,0,2,905,755,
2801,379,159,29,57,119,15,379,0,0,6.3,6.3,6.3,6.3,1,0,7,2306,1922,
2802,1243,555,15,245,394,10,1219,0,0,9.2,9.4,11.1,11.4,1,0,9,7875,6562,
2803,64,20,28,10,7,0,65,0,0,2.2,2.2,2.2,2.2,2,0,3,-48,-40,
2804,1248,249,262,146,423,15,1095,0,0,12.2,13.8,12.2,13.8,4,0,12,11281,9401,
2805,42,12,15,3,7,15,52,0,0,59.4,48,59.4,48,1,0,6.4,7442,6201,
2806,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,1,0,7,5277,4398,
2807,285,48,187,15,35,25,310,0,0,4.4,4,4.4,4,2,0,7,2778,2315,
2808,77,24,18,21,14,0,18,59,0,5.3,5.3,6.4,6.4,1,0,10,603,502,
2809,330,179,26,64,110,0,379,0,0,3.2,2.8,3.2,2.8,1,0,10,1505,1254,
2810,1093,392,119,235,166,47,959,0,0,6.6,7.6,6.6,7.6,1,0,11,9655,8045,
2811,387,109,118,67,90,7,391,0,0,8.5,8.4,10.2,10.1,1,0,17,4536,3780,
2812,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,1,0,6,10713,8928,
2813,78,7,34,6,21,0,22,46,0,7.7,8.8,8.8,10.1,2,0,3,1189,991,
2814,300,95,82,27,76,0,138,142,0,9.8,10.5,9.8,10.5,1,0,10,2400,2000,
2815,323,108,57,53,74,31,323,0,0,3.8,3.8,3.8,3.8,1,0,13,2842,2368,
2816,119,0,118,0,0,0,95,19,4,1.5,1.5,1.8,1.8,1,0,2,-285,-237,
2817,64,15,18,9,15,5,12,39,11,6.1,6.3,7.4,7.6,1,0,6,278,232,
2818,1248,249,262,146,423,15,1095,0,0,12.2,13.8,12.2,13.8,4,0,12,11281,9401,
2819,143,54,65,0,14,0,11,122,0,2.3,2.5,2.8,3,1,0,4,-691,-576,
2820,221,31,133,0,45,5,53,161,0,6.8,7.1,8.2,8.5,1,0,4,620,516,
2821,520,181,160,9,55,25,430,0,0,6,7.3,6,7.3,2,0,8,4573,3811,
2822,321,168,46,9,77,15,315,0,0,3.4,3.4,3.4,3.4,4,0,11,3101,2584,
2823,85,21,67,3,0,15,22,59,25,12.3,9.9,12.3,9.9,2,0,13,2361,1968,
2824,98,35,0,41,20,0,28,68,0,56.5,57.6,68,69.4,1,0,5,10306,8588,
2825,199,82,92,13,10,0,20,100,77,4.4,4.4,5.3,5.3,1,0,2,-87,-73,
2826,826,255,295,72,157,0,779,0,0,6.5,6.9,6.5,6.9,1,0,42,9829,8191,
2827,76,60,12,0,0,0,0,72,0,4.9,5.2,5.9,6.3,1,0,1,-728,-607,
2828,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,1,0,6,2890,2409,
2829,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,1,0,15,4098,3415,
2830,57,27,28,0,0,0,0,55,0,30.5,31.7,36.8,38.1,1,0,4,4801,4001,
2831,60,39,4,0,14,10,39,22,6,7.9,7,7.9,7,2,0,8,1006,838,
2832,268,76,96,45,41,10,248,20,0,10.9,10.9,10.9,10.9,2,0,9,3947,3289,
2833,93,58,20,4,10,0,22,70,0,8.6,8.7,10.4,10.5,1,0,3,206,172,
2834,308,153,83,0,112,10,236,122,0,8.2,7.1,8.2,7.1,2,0,6,1090,908,
2835,53,17,17,0,24,5,63,0,0,6.7,5.6,6.7,5.6,2,0,16,1708,1423,
2836,17518,9404,1221,0,2955,0,13580,0,0,3.1,4,3.1,4,1,0,14,70692,58910,
2837,184,53,21,43,38,15,170,0,0,16,17.4,18.4,20,2,0,4,4234,3529,
2838,109,0,84,0,17,5,47,59,0,14,14.4,16.9,17.3,1,0,2,1714,1428,
2839,137,54,42,30,7,0,97,36,0,2.9,3,2.9,3,1,0,3,77,64,
2840,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1,0,1,-868,-724,
2841,104,32,5,40,28,10,115,0,0,3.3,2.9,4.9,4.5,4,0,2,1364,1137,
2842,499,262,42,60,90,0,155,299,0,4.6,5.1,4.6,5.1,1,0,10,1419,1183,
2843,406,209,36,125,20,0,102,288,0,13.9,14.5,16.7,17.4,1,0,7,3741,3118,
2844,221,31,133,0,45,5,53,161,0,6.8,7.1,8.2,8.5,1,0,4,620,516,
2845,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,1,0,4,1880,1567,
2846,327,64,142,21,0,100,327,0,0,7.8,7.8,7.8,7.8,2,0,16,5844,4870,
2847,288,18,186,21,15,60,300,0,0,4.3,4.2,4.3,4.2,2,0,11,4030,3358,
2848,1362,579,291,171,378,0,1419,0,0,2.3,2.3,2.3,2.3,3,0,11,8491,7076,
2849,230,81,49,37,58,0,225,0,0,2.2,2.2,2.2,2.2,1,0,4,501,418,
2850,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,1,0,2,2809,2341,
2851,1402,328,804,187,49,63,1431,0,0,12.6,12.3,12.3,12,1,0,23,16817,14015,
2852,67,10,18,31,0,0,0,59,0,57.5,65.3,69.3,78.7,1,0,2,12978,10815,
2853,221,31,133,0,45,5,53,161,0,6.8,7.1,8.2,8.5,1,0,4,620,516,
2854,73,9,61,3,0,0,73,0,0,19.2,19.2,19.2,19.2,1,0,8,3519,2932,
2855,88,18,20,0,43,0,36,45,0,1.5,1.6,1.8,1.9,1,0,7,-710,-591,
