ID,AFP,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Effort
2615,1579,132,9,44,278,0
2616,1408,0,225,182,331,2319
2617,886,138,61,171,69,0
2618,0,49,56,271,85,816
2619,3149,78,153,98,192,0
2620,1498,0,260,0,167,4374
2621,0,77,269,67,112,8805
2622,753,242,215,83,44,2922
2623,0,0,280,119,225,0
2624,1813,236,223,152,0,6493
2625,1584,71,62,23,181,0
2626,2307,363,139,147,323,11052
2627,163,0,275,0,0,0
2628,1017,379,32,59,0,7501
2629,2784,0,0,113,0,2886
2630,847,127,35,291,0,3589
2631,1466,13,158,13,0,4076
2632,2933,58,152,139,286,3792
2633,0,80,209,0,542,0
2634,37,277,350,149,256,9881
2635,0,0,0,67,187,8662
2636,438,91,281,199,136,0
2637,0,128,266,245,60,5914
2638,347,297,181,318,0,7378
2639,1352,174,70,117,113,5633
2640,1385,34,23,252,165,6617
2641,313,115,147,46,151,6428
2642,0,222,224,0,311,12941
2643,525,209,135,101,55,4558
2644,947,0,0,203,235,9180
2645,1292,258,277,47,182,8049
2646,0,0,157,104,21,6463
2647,0,190,383,85,176,18424
2648,0,205,26,136,80,3831
2649,2993,160,226,228,121,3299
2650,979,175,189,52,108,5902
2651,1222,309,196,30,127,0
2652,65,333,0,0,111,4011
2653,480,223,248,257,303,0
2654,2953,29,0,170,91,0
2655,1116,0,92,0,264,5978
2656,1471,144,106,64,403,3729
2657,0,92,187,159,201,2686
2658,0,200,179,124,100,334
2659,0,105,325,0,166,8
2660,833,0,180,0,134,2471
2661,0,66,0,124,0,3748
2662,298,50,227,0,0,0
2663,0,80,185,123,233,3264
2664,2011,253,219,15,113,4706
2665,0,34,0,302,453,0
2666,302,0,151,0,65,8170
2667,0,151,32,286,0,6694
2668,99,194,256,316,185,715
2669,714,51,42,473,66,4334
2670,0,82,18,329,306,12862
2671,229,99,232,90,132,61
2672,0,280,3,219,132,8079
2673,1710,315,275,241,93,3767
2674,223,0,120,202,0,2619
2675,525,31,0,224,315,5705
2676,564,250,21,108,472,8871
2677,0,226,87,1,102,471
2678,0,392,21,244,253,737
2679,1758,199,5,235,107,0
2680,1251,141,161,111,268,0
2681,2048,0,87,0,129,0
2682,2943,164,0,0,61,2247
2683,1762,167,0,324,21,10643
2684,0,251,0,142,114,1374
2685,0,53,114,166,0,3124
2686,1928,12,20,280,302,0
2687,0,79,127,290,207,4423
2688,2717,237,213,31,326,2694
2689,1377,14,245,102,0,8198
2690,0,85,161,226,237,14049
2691,52,115,0,151,0,0
2692,0,185,50,80,0,0
2693,1430,96,200,0,125,4703
2694,1895,0,24,60,124,7808
2695,855,414,123,188,392,7734
2696,0,246,112,62,50,0
2697,0,173,352,0,209,10672
2698,1389,173,328,293,134,11168
2699,0,31,169,227,178,1795
2700,88,148,154,11,0,0
2701,426,154,150,114,143,6243
2702,0,478,82,407,0,0
2703,1566,82,378,294,2,13052
2704,1867,84,138,55,0,1825
2705,661,0,42,385,0,123
2706,0,34,60,488,98,10441
2707,0,111,0,240,5,1147
2708,375,61,0,103,455,0
2709,2553,160,182,195,0,16264
2710,844,278,120,178,88,10671
2711,1161,131,218,349,187,0
2712,0,198,0,0,324,5747
2713,495,223,236,0,0,5671
2714,1756,0,46,441,103,0
2715,648,0,71,0,0,7706
2716,0,203,69,228,0,1975
2717,50,136,88,391,67,16230
2718,0,146,164,0,72,0
2719,687,0,262,255,119,10602
2720,1119,0,0,0,0,0
2721,1396,147,159,5,105,18494
2722,0,0,196,60,69,11927
2723,1255,112,17,257,368,0
2724,803,28,268,0,0,11722
2725,1275,104,0,168,0,0
2726,793,206,49,227,28,0
2727,0,86,7,0,115,7242
2728,0,0,427,0,97,1603
2729,1352,0,15,37,212,7159
2730,310,107,226,148,84,0
2731,1326,105,0,235,302,0
2732,1112,0,105,0,0,0
2733,1452,13,292,28,136,0
2734,593,245,126,256,59,0
2735,0,0,341,0,69,0
2736,0,20,242,314,218,6694
2737,167,0,133,161,170,3816
2738,884,85,256,0,112,1546
2739,0,54,146,138,84,5264
2740,0,0,224,62,0,7493
2741,0,84,39,0,71,8974
2742,0,41,244,141,135,2642
2743,923,211,0,105,29,3585
2744,0,0,0,241,378,8847
2745,2032,157,0,288,195,15220
2746,0,0,198,143,118,4920
2747,3003,372,0,7,34,3714
2748,585,298,96,98,108,11028
2749,1438,73,0,270,189,0
2750,109,0,227,0,0,0
2751,52,127,146,194,222,7204
2752,598,75,0,323,235,17346
2753,14,108,6,255,100,5779
2754,0,172,164,300,0,16818
2755,1058,0,8,196,212,0
2756,0,154,147,206,41,1339
2757,2871,0,157,150,180,3293
2758,525,156,227,0,85,0
2759,421,79,99,56,244,0
2760,0,0,0,151,323,7428
2761,807,201,0,0,0,0
2762,446,93,0,66,0,0
2763,1766,107,419,139,47,8404
2764,662,0,0,147,63,895
2765,2242,67,219,159,288,12206
2766,2233,0,260,0,0,4601
2767,0,26,0,0,177,9288
2768,0,0,152,468,111,6579
2769,79,206,0,184,0,9358
2770,1089,125,0,290,0,0
2771,1672,60,44,124,0,6209
2772,0,69,0,102,6,798
2773,0,183,298,322,7,741
2774,1892,159,155,179,102,311
2775,2110,0,104,397,336,6316
2776,0,0,238,0,139,5713
2777,2564,0,0,133,0,5064
2778,743,73,0,55,84,530
2779,0,146,0,110,32,9486
2780,685,241,139,136,89,6715
2781,1362,0,109,9,396,6028
2782,16,138,204,249,0,7614
2783,1593,149,227,282,185,0
2784,0,254,151,163,18,7774
2785,0,0,289,7,431,6070
2786,1059,52,0,106,0,2908
2787,407,147,66,0,148,6799
2788,0,157,139,0,0,0
2789,1779,20,51,0,280,0
2790,0,9,251,142,0,6704
2791,0,95,166,443,277,0
2792,910,0,141,8,277,4754
2793,0,96,0,42,32,9556
2794,2770,222,0,0,0,0
2795,1300,276,117,242,144,707
2796,0,260,297,364,82,3674
2797,756,182,283,66,246,13883
2798,717,0,241,135,61,0
2799,0,287,228,282,184,4965
2800,0,141,212,391,102,0
2801,0,94,0,153,156,2701
2802,390,269,171,17,177,10211
2803,1595,167,230,257,86,11190
2804,873,231,123,84,196,6516
2805,0,238,125,3,381,1380
2806,1472,259,387,41,140,7120
2807,758,311,211,196,212,741
2808,1318,260,317,175,110,7790
2809,0,0,146,0,185,8588
2810,0,0,105,229,0,0
2811,0,168,0,0,264,0
2812,0,0,96,0,40,10201
2813,1415,0,427,57,116,0
2814,1744,157,76,379,0,5037
2815,0,0,15,50,13,4975
2816,492,239,307,25,264,1218
2817,1603,194,0,211,79,2208
2818,608,0,0,242,88,17660
2819,2138,9,0,337,243,8365
2820,905,326,104,0,153,2859
2821,1125,119,185,149,185,0
2822,423,174,199,6,69,5669
2823,1478,321,161,27,0,11830
2824,0,144,99,162,212,3036
2825,1951,0,185,8,0,4671
2826,1769,65,88,80,380,6794
2827,0,0,0,133,122,1184
2828,664,0,284,228,21,0
2829,0,160,244,59,245,14919
2830,1663,210,169,225,8,4788
2831,922,174,258,0,0,961
2832,166,13,266,0,398,6440
2833,584,126,133,244,69,0
2834,2145,0,61,30,0,0
2835,621,161,0,196,81,0
2836,0,0,8,155,89,8682
2837,17,0,0,124,0,7755
2838,921,63,194,307,95,3362
2839,0,268,24,42,217,14795
2840,632,0,0,232,185,3153
2841,353,148,76,299,205,7187
2842,679,46,130,164,0,7366
2843,0,0,0,71,45,2914
2844,0,19,49,102,110,8314
2845,0,77,84,59,294,379
2846,508,120,0,150,0,0
2847,139,0,49,337,161,8806
2848,1076,0,0,0,235,5096
2849,0,150,210,264,0,6383
2850,1715,0,0,0,318,6497
2851,599,207,345,253,139,2136
2852,0,69,79,0,323,6884
2853,1041,187,38,60,176,10879
2854,0,228,76,70,186,7286
2855,849,130,86,130,0,0
2856,0,61,435,275,0,3561
2857,1071,0,131,21,0,574
2858,1897,187,161,79,226,0
2859,0,402,133,182,201,0
2860,0,0,3,117,120,10237
2861,866,137,226,320,70,3688
2862,109,13,230,103,63,0
2863,1086,136,0,0,42,10064
2864,0,63,124,193,345,6097
2865,0,0,0,82,81,0
2866,0,243,192,56,0,11409
2867,2583,0,162,51,278,0
2868,0,314,117,57,324,5964
2869,642,0,198,24,75,4328
2870,517,237,39,461,277,0
2871,0,270,252,151,0,0
2872,1426,46,0,95,26,395
2873,0,0,219,83,428,8695
2874,2209,119,50,48,232,14790
2875,0,144,217,70,137,6036
2876,1466,32,127,174,328,4716
2877,177,111,0,77,135,4709
2878,279,0,0,0,154,12674
2879,1571,131,220,183,0,0
2880,0,0,31,160,109,760
2881,166,330,257,49,268,10181
2882,1287,57,404,39,17,11576
2883,980,195,16,246,100,10235
2884,1688,20,0,94,207,6881
2885,1517,118,0,261,371,2156
2886,722,0,0,234,171,7421
2887,1157,0,166,89,0,8103
2888,607,24,381,113,167,6292
2889,1586,157,0,67,4,7993
2890,628,97,102,0,164,0
2891,0,135,108,245,0,163
2892,1455,0,144,198,90,8421
2893,0,60,99,146,0,18896
2894,154,0,0,231,0,4920
2895,0,271,60,193,261,7627
2896,1280,215,143,74,30,5521
2897,0,87,191,314,1,10475
2898,0,232,91,219,121,5877
2899,0,92,260,0,0,6253
2900,0,173,0,136,197,0
2901,1580,62,115,151,57,13106
2902,0,0,16,136,0,5041
2903,2998,124,103,117,0,2834
2904,167,0,0,184,0,0
2905,142,257,144,0,187,0
2906,126,133,0,240,326,6712
2907,734,26,204,307,150,7445
2908,1570,74,0,258,130,0
2909,0,0,148,0,302,0
2910,460,212,47,109,83,3954
2911,254,169,144,260,249,0
2912,780,115,41,70,19,9186
2913,0,91,189,262,39,1801
2914,1341,229,52,0,299,0
2915,146,117,0,178,0,5322
2916,302,169,58,0,210,0
2917,0,132,113,234,0,0
2918,0,170,38,64,335,1984
2919,144,58,0,93,76,0
2920,462,65,282,15,7,3509
2921,1910,204,73,157,0,10626
2922,0,40,200,68,71,0
2923,680,0,140,0,0,5483
2924,2443,0,0,3,252,7567
2925,0,139,22,0,158,9084
2926,1259,0,0,194,64,0
2927,0,79,158,110,115,7485
2928,0,85,30,452,115,7214
2929,0,0,21,383,0,3457
2930,93,89,0,0,124,9405
2931,0,37,0,303,334,0
2932,1765,123,8,396,331,0
2933,0,0,177,316,0,5131
2934,391,219,123,87,126,0
2935,578,352,0,246,57,9331
2936,600,253,146,139,272,4073
2937,17,87,61,0,336,2485
2938,34,143,0,42,0,5396
2939,0,28,37,191,0,0
2940,731,68,105,144,56,12828
2941,0,239,53,65,266,0
2942,0,174,240,218,102,351
2943,502,234,428,0,58,3036
2944,2316,105,7,158,225,6196
2945,2723,235,0,0,103,1420
2946,44,193,227,0,129,5664
2947,0,120,69,36,288,0
2948,283,140,117,35,194,14582
2949,0,0,234,94,112,12781
2950,1488,0,28,68,0,3138
2951,561,4,3,192,585,5537
2952,608,30,0,67,253,0
2953,296,204,133,51,218,0
2954,0,0,79,229,538,8414
2955,466,193,93,45,226,8113
2956,1105,156,76,322,97,7444
2957,71,0,90,278,137,6423
2958,0,119,122,12,13,14068
2959,1703,0,60,103,126,0
2960,2001,161,0,0,0,3922
2961,1320,184,95,146,46,0
2962,1453,191,193,184,0,3449
2963,0,0,67,362,270,9168
2964,0,297,248,158,102,10162
2965,1273,418,0,156,294,5073
2966,858,127,0,344,276,0
2967,1008,69,202,7,178,8933
2968,398,37,197,30,26,3091
2969,0,173,157,146,230,6962
2970,72,133,7,121,31,0
2971,0,59,153,394,306,10784
2972,0,72,186,114,0,3980
2973,658,47,116,251,109,16399
2974,1164,399,246,41,0,16043
2975,0,66,135,374,284,1773
2976,871,60,91,0,186,1028
2977,1379,63,34,0,201,0
2978,1537,295,0,173,12,13382
2979,1087,66,93,166,156,7225
2980,233,8,75,0,0,0
2981,0,90,158,0,47,7734
2982,2090,263,13,0,0,1649
2983,822,161,59,106,0,14627
2984,0,119,0,240,180,12990
2985,649,38,140,137,201,5900
2986,0,52,57,0,261,442
2987,2033,97,119,195,0,5963
2988,17,258,150,344,351,0
2989,0,27,0,52,0,2660
2990,55,237,233,174,84,0
2991,616,69,151,154,91,15029
2992,1419,31,75,36,53,3631
2993,95,221,130,153,241,0
2994,1077,148,0,100,238,10238
2995,960,0,47,0,0,13889
2996,0,0,195,228,219,0
2997,1507,172,51,178,32,8619
2998,169,107,73,0,18,4580
2999,0,169,180,0,54,0
3000,0,25,0,0,60,1168
3001,1821,57,0,255,90,4071
3002,0,47,152,267,75,10801
3003,1171,36,155,333,382,5187
3004,1024,208,56,0,25,9432
3005,1027,13,112,0,318,392
3006,1711,303,87,0,303,0
3007,0,28,27,209,43,1564
3008,1414,206,190,54,166,10720
3009,1419,133,64,103,0,8886
3010,713,282,0,228,125,1965
3011,0,155,225,346,224,8628
3012,370,122,252,490,54,7873
3013,405,89,76,15,168,8387
3014,1136,0,0,145,222,6383
3015,2007,410,10,0,0,0
3016,1250,206,183,184,0,7140
3017,0,159,226,0,0,0
3018,0,422,75,100,50,12775
3019,0,146,346,0,62,10372
3020,2384,286,171,282,100,2923
3021,454,0,49,15,210,6170
3022,0,74,106,201,155,8430
3023,1604,0,246,158,143,1709
3024,840,269,86,0,168,3244
3025,0,303,192,376,16,0
3026,0,0,271,274,3,2538
3027,1343,181,103,260,162,1626
3028,0,180,50,258,58,234
3029,799,43,159,92,0,0
3030,1190,128,218,0,0,6675
3031,1952,354,73,273,119,2846
3032,5,190,0,150,294,1383
3033,406,66,290,183,66,6886
3034,427,266,133,65,197,3802
3035,0,228,33,184,31,7300
3036,457,115,231,0,447,336
3037,0,418,114,124,133,0
3038,1452,12,181,126,69,8895
3039,3151,72,0,173,0,0
3040,0,174,204,120,96,9375
3041,227,0,187,271,0,0
3042,268,225,315,160,75,802
3043,0,13,125,96,125,2143
3044,306,0,58,195,254,0
3045,176,159,0,0,21,0
3046,10,261,231,157,239,0
3047,0,118,0,0,17,6531
3048,923,186,50,361,42,6011
3049,2677,190,0,0,50,8059
3050,882,264,48,3,183,1829
3051,981,218,56,0,148,10349
3052,192,141,86,0,0,6069
3053,110,110,180,94,65,0
3054,1691,173,52,211,174,0
3055,1324,110,9,288,1,1959
3056,42,75,112,316,32,2482
3057,1152,150,175,135,340,1153
3058,1004,0,164,244,95,9061
3059,0,214,0,145,87,9837
3060,0,139,38,95,85,8905
3061,1287,2,92,75,222,9633
3062,0,257,357,90,0,1253
3063,0,128,91,177,80,3393
3064,173,79,127,201,0,890
3065,3042,116,196,0,121,4139
3066,1355,157,239,0,165,17814
3067,2936,37,0,0,157,8578
3068,190,138,230,258,148,2909
3069,61,207,339,327,0,4846
3070,2400,0,137,164,240,0
3071,2086,213,0,211,71,16074
3072,996,162,76,0,438,19595
3073,308,290,231,200,410,14243
3074,133,5,0,103,122,4167
3075,0,181,196,0,284,0
3076,0,129,203,25,201,2524
3077,594,86,13,383,159,1377
3078,0,175,58,182,403,1464
3079,0,286,215,44,110,0
3080,1257,244,323,112,185,5507
3081,2883,39,227,56,273,8445
3082,1605,19,180,0,506,1574
3083,164,16,91,0,32,503
3084,2408,143,365,253,0,11530
3085,2884,30,54,80,71,0
3086,893,27,100,48,106,6533
3087,0,85,125,0,184,3606
3088,0,152,15,232,74,0
3089,602,109,146,182,154,8444
3090,400,230,229,0,264,8624
3091,2211,48,154,79,25,12047
3092,0,69,626,0,242,10151
3093,0,0,234,149,285,8242
3094,1547,0,0,80,0,5647
3095,0,78,32,41,24,5938
3096,0,164,270,234,272,0
3097,1371,0,60,108,131,5837
3098,0,157,280,0,305,6797
3099,2041,61,0,80,212,2489
3100,430,219,0,0,337,4574
3101,1227,105,292,168,42,14236
3102,33,207,200,16,442,12867
3103,0,66,212,12,0,15139
3104,1588,100,253,0,328,0
3105,2803,22,457,350,217,9604
3106,544,0,308,25,10,0
3107,926,33,309,388,24,8117
3108,1539,0,323,202,140,11236
3109,656,106,171,0,69,5331
3110,687,98,138,70,110,3057
3111,943,152,44,131,0,0
3112,1260,186,274,3,192,4544
3113,255,0,184,167,202,0
3114,539,0,153,109,0,0
3115,848,284,189,28,133,0
3116,1301,0,222,141,159,7245
3117,980,5,19,65,334,4572
3118,465,261,107,0,86,7920
3119,2059,186,93,44,70,0
3120,0,170,0,0,0,1794
3121,2185,127,0,173,47,0
3122,1795,34,74,0,207,4463
3123,0,194,11,154,38,0
3124,26,257,0,362,34,14017
3125,1609,74,67,234,75,7150
3126,744,292,106,163,246,0
3127,189,246,79,0,0,0
3128,0,27,130,293,165,16945
3129,1961,78,166,200,104,7123
3130,637,21,0,169,0,940
3131,759,220,178,148,201,18837
3132,2013,138,73,103,0,0
3133,812,0,19,83,78,1607
3134,997,55,260,113,359,0
3135,0,84,103,0,194,10160
3136,1465,272,213,103,349,12717
3137,0,4,253,117,167,5826
3138,0,340,0,267,229,3094
3139,1220,152,52,151,177,1588
3140,1478,8,165,32,285,0
3141,698,152,120,236,167,49
3142,876,316,191,98,233,0
3143,439,0,247,21,30,8341
3144,0,92,53,266,198,1046
3145,0,0,0,234,21,16125
3146,264,256,54,119,113,8497
3147,0,75,134,229,0,11413
3148,147,192,75,201,58,3446
3149,0,280,0,118,262,11911
3150,0,127,0,0,162,0
3151,1776,0,13,322,111,9527
3152,0,154,139,250,142,15650
3153,777,41,50,266,89,1198
3154,0,122,24,154,138,0
3155,1347,30,260,198,0,3824
3156,1237,168,62,297,0,6257
3157,1323,128,133,102,76,0
3158,0,272,0,0,221,11530
3159,1239,0,177,249,94,6167
3160,0,68,110,0,36,0
3161,759,121,141,507,2,1483
3162,807,278,13,113,189,0
3163,987,202,111,337,301,9553
3164,0,89,63,191,71,6483
3165,0,117,149,171,0,14852
3166,0,216,142,248,226,3713
3167,0,7,0,148,325,10978
3168,0,191,42,131,147,5030
3169,0,41,0,109,0,7638
3170,0,0,199,219,205,5250
3171,92,1,77,0,0,4859
3172,2491,19,0,0,230,0
3173,2465,159,66,96,81,8036
3174,512,9,47,65,0,4151
3175,1660,262,98,114,183,0
3176,2831,164,0,5,227,4080
3177,980,115,0,59,17,0
3178,788,284,356,259,127,5578
3179,0,0,42,218,44,909
3180,0,230,163,339,141,0
3181,276,40,139,0,318,7763
3182,0,0,229,246,103,0
3183,0,101,0,0,153,0
3184,0,224,100,143,284,8591
3185,2261,0,103,78,63,6289
3186,110,7,241,79,47,6261
3187,0,334,254,0,225,1949
3188,1868,126,0,50,101,0
3189,100,45,400,110,143,6414
3190,883,80,196,0,190,3663
3191,1456,135,0,158,393,0
3192,952,0,0,15,251,9188
3193,1384,162,346,338,198,4592
3194,496,102,54,85,0,10323
3195,536,101,382,154,240,3980
3196,1816,121,198,439,0,8789
3197,0,57,38,0,256,3738
3198,360,242,239,0,117,0
3199,576,0,199,160,74,0
3200,365,230,106,34,104,2471
3201,656,43,58,218,47,0
3202,1017,124,234,171,174,11565
3203,2290,96,171,21,50,1187
3204,1910,161,258,137,0,9039
3205,1226,143,12,0,171,0
3206,0,22,319,212,0,12829
3207,0,150,59,3,0,4949
3208,591,67,123,183,244,8308
3209,1602,252,0,128,120,8377
3210,518,0,136,181,0,12320
3211,135,19,164,225,307,0
3212,1668,0,108,104,94,7033
3213,1015,145,0,50,238,3294
3214,592,53,175,193,195,10626
3215,962,254,0,298,279,0
3216,462,47,82,0,0,867
3217,0,207,0,128,122,2389
3218,634,116,215,212,276,3189
3219,2000,42,12,152,133,0
3220,0,124,129,122,143,5569
3221,0,180,413,268,456,9229
3222,2676,101,268,282,0,0
3223,0,231,29,6,164,410
3224,482,0,122,0,259,12974
3225,1360,212,169,99,143,0
3226,938,0,6,320,149,5879
3227,112,93,171,291,0,15533
3228,589,0,21,144,0,0
3229,290,0,124,0,0,0
3230,2008,85,0,140,35,7065
3231,917,145,189,211,127,8313
3232,1172,277,132,63,344,0
3233,1255,12,219,326,0,1877
3234,0,188,18,13,117,0
3235,1037,131,115,267,192,6284
3236,0,282,213,225,56,0
3237,353,95,139,244,157,0
3238,1549,124,138,46,61,2455
3239,640,129,147,0,287,0
3240,0,180,36,180,26,11171
3241,368,99,21,115,204,9119
3242,2090,91,199,352,129,6983
3243,1325,158,0,393,118,7457
3244,496,193,0,204,292,0
3245,874,0,0,4,0,6316
3246,0,134,78,192,183,9972
3247,1996,89,0,113,43,1006
3248,1971,16,137,134,309,13408
3249,0,103,423,0,77,0
3250,1795,88,74,98,119,7507
3251,2473,23,251,175,287,2570
3252,1213,178,330,57,148,7183
3253,53,88,0,105,91,11154
3254,122,0,300,2,501,1855
3255,0,218,65,603,350,0
3256,490,195,113,30,142,0
3257,0,261,0,52,287,0
3258,57,306,0,29,0,902
3259,0,270,0,203,0,0
3260,666,176,263,152,273,0
3261,737,82,300,0,167,5942
3262,608,142,95,49,32,3256
3263,1378,201,46,45,82,12063
3264,84,13,22,107,0,3121
3265,0,186,189,183,323,11158
3266,0,260,245,208,122,0
3267,0,90,93,171,78,8597
3268,767,141,112,77,182,0
3269,542,249,36,10,0,10864
3270,1801,84,0,185,198,1701
3271,31,167,0,248,234,2995
3272,0,0,49,256,421,7382
3273,693,15,341,111,364,9475
3274,596,164,192,197,130,8774
3275,1617,92,0,72,314,12477
3276,0,244,175,98,80,2756
3277,1396,338,253,187,0,11658
3278,0,62,104,145,357,0
3279,0,103,93,232,107,0
3280,1044,0,0,46,559,14047
3281,1620,76,0,333,36,0
3282,0,107,0,232,268,3982
3283,1258,234,212,268,17,0
3284,0,177,236,64,41,7213
3285,658,54,0,136,203,10625
3286,0,143,91,154,219,4972
3287,663,3,128,0,106,8001
3288,906,111,92,192,86,3074
3289,0,109,143,184,181,7713
3290,74,0,0,112,200,4271
3291,1174,233,50,183,273,5213
3292,0,20,196,211,215,0
3293,0,0,57,28,0,8006
3294,834,241,0,25,366,4932
3295,0,118,72,108,168,5663
3296,1017,4,212,279,64,0
3297,0,228,225,251,206,6868
3298,3814,41,349,12,164,9721
3299,715,130,0,0,0,5406
3300,1824,0,388,0,162,0
3301,768,0,0,131,89,13580
3302,438,316,116,0,0,2447
3303,0,37,30,514,215,2021
3304,0,222,288,28,409,6577
3305,0,301,102,64,0,7737
3306,262,185,122,310,0,295
3307,0,10,0,0,55,0
3308,552,21,105,133,310,14858
3309,0,176,278,55,316,0
3310,1138,244,160,251,268,0
3311,1461,0,101,281,296,0
3312,439,162,160,79,80,13870
3313,2471,89,27,0,424,0
3314,1743,19,0,165,184,1270
3315,2414,93,0,15,138,0
3316,197,0,385,237,303,13953
3317,1119,105,46,96,100,3549
3318,473,79,41,138,46,3760
3319,49,119,196,136,0,12442
3320,716,292,238,21,0,12163
3321,348,132,316,0,142,1215
3322,0,63,325,189,342,0
3323,0,185,238,254,26,0
3324,1245,65,181,356,274,7401
3325,534,64,28,278,199,148
3326,0,237,0,198,167,7791
3327,0,0,29,271,0,11017
3328,251,0,75,2,3,2397
3329,183,450,361,201,86,5836
3330,1704,91,169,55,191,11294
3331,1180,70,275,0,15,2505
3332,135,154,0,57,188,3834
3333,0,209,395,86,138,0
3334,158,97,324,0,99,0
3335,0,85,211,33,0,6923
3336,0,0,115,336,0,9985
3337,1497,74,138,293,135,13583
3338,1530,129,83,88,132,8997
3339,0,174,319,251,213,0
3340,0,105,95,0,98,0
3341,0,0,94,361,199,439
3342,303,58,112,206,128,0
3343,437,256,248,156,0,3141
3344,405,0,31,74,212,0
3345,1103,227,223,259,0,0
3346,1372,71,125,322,209,0
3347,508,84,247,85,192,8874
3348,0,237,206,174,75,15746
3349,0,0,120,0,0,5138
3350,265,236,58,189,243,18570
3351,0,293,310,104,181,11878
3352,0,249,88,70,118,2004
3353,0,210,0,152,54,15595
3354,0,115,0,233,104,14731
3355,418,0,238,5,108,0
3356,0,0,162,85,281,5133
3357,1210,61,175,224,105,12313
3358,1770,241,189,198,82,4775
3359,944,197,0,0,95,1834
3360,592,235,57,61,185,9880
3361,481,0,269,4,0,8070
3362,0,0,270,94,188,9920
3363,910,110,205,30,218,0
3364,0,104,75,148,114,1190
3365,772,0,236,211,168,0
3366,1163,125,63,81,183,8306
3367,1763,227,135,66,0,0
3368,1464,70,58,0,126,6165
3369,0,164,201,473,311,10410
3370,776,171,0,18,0,1746
3371,910,0,53,138,444,13473
3372,448,111,0,0,301,6533
3373,708,220,111,0,299,17132
3374,1529,0,350,195,200,7175
3375,771,3,211,276,258,0
3376,0,255,261,0,266,13129
3377,0,74,74,0,0,3031
3378,1129,73,63,0,37,4046
3379,0,232,0,226,20,0
3380,28,373,266,57,286,5518
3381,873,59,38,336,107,0
3382,45,0,289,348,173,7111
3383,455,84,130,0,294,1953
3384,1092,322,62,101,177,10978
3385,1545,303,127,111,343,4357
3386,2080,0,460,31,136,3866
3387,0,0,72,364,196,0
3388,135,94,0,158,70,2313
3389,896,131,123,33,91,1285
3390,2245,88,221,142,179,0
3391,0,219,0,0,0,0
3392,0,150,0,224,50,8929
3393,1170,169,26,75,69,7885
3394,0,68,211,102,40,18630
3395,1968,230,235,180,87,2663
3396,1241,234,207,0,152,7156
3397,0,79,284,440,36,780
3398,1113,77,0,273,191,0
3399,1413,114,0,65,170,3273
3400,0,101,137,35,117,14854
3401,855,11,0,15,231,7966
3402,2598,210,325,26,24,2428
3403,0,85,0,122,31,0
3404,1322,249,285,139,46,2824
3405,0,0,207,0,63,0
3406,1698,99,518,0,369,0
3407,1549,0,17,229,0,7460
3408,1776,63,121,380,234,7933
3409,1234,0,9,224,93,6542
3410,1209,63,233,200,0,0
3411,749,0,182,96,0,780
3412,0,249,102,376,0,0
3413,0,206,210,282,147,0
3414,1118,130,130,34,0,0
3415,1124,141,128,118,192,10282
3416,0,186,237,207,98,1070
3417,176,227,47,173,281,0
3418,0,0,244,163,0,497
3419,2172,0,100,0,480,846
3420,672,19,186,0,289,6092
3421,0,262,207,243,75,191
3422,359,45,28,0,84,0
3423,0,160,52,60,303,1003
3424,2216,250,115,126,0,2807
3425,0,26,40,0,208,0
3426,1035,313,453,0,0,0
3427,605,146,0,101,203,12352
3428,0,100,79,99,70,3179
3429,505,138,26,210,236,1850
3430,29,175,24,177,0,4961
3431,0,35,127,103,226,2030
3432,1745,281,0,128,423,0
3433,0,169,86,41,108,9609
3434,2162,105,26,84,236,0
3435,1290,214,9,0,244,6044
3436,0,277,0,169,0,6096
3437,2050,79,0,58,194,0
3438,0,0,75,238,378,1706
3439,0,119,112,104,0,0
3440,683,306,6,0,171,10706
3441,0,259,127,139,0,0
3442,1396,0,37,106,183,2865
3443,1460,123,44,185,41,0
3444,1838,23,0,93,0,4507
3445,1184,0,145,227,238,0
3446,0,207,396,0,91,0
3447,1705,0,18,161,239,4058
3448,0,7,143,0,0,0
3449,0,0,313,81,86,4603
3450,0,0,102,267,290,1778
3451,617,0,168,257,224,8293
3452,190,228,233,16,205,0
3453,0,113,368,167,68,0
3454,173,147,205,194,311,6020
3455,0,136,129,1,0,810
3456,1637,133,98,60,193,8181
3457,1338,45,326,457,125,10524
3458,0,129,44,122,289,3536
3459,0,233,0,77,210,3469
3460,0,91,84,25,129,6561
3461,1525,0,14,33,547,9215
3462,0,0,254,147,88,6607
3463,175,50,123,198,0,7474
3464,0,118,129,235,45,0
3465,469,0,315,352,0,5977
3466,1136,68,0,252,151,9498
3467,1182,292,26,122,179,0
3468,186,348,205,62,205,2186
3469,22,13,237,103,162,0
3470,0,83,0,77,192,3167
3471,818,213,0,0,47,623
3472,0,0,44,86,72,11862
3473,0,22,0,150,174,11079
3474,0,12,107,122,199,0
3475,877,0,68,352,0,4340
3476,0,0,0,311,159,13411
3477,455,55,214,220,0,1511
3478,26,146,62,133,0,2973
3479,0,187,16,144,0,12718
3480,2772,90,113,179,284,9035
3481,1058,394,142,0,0,0
3482,688,154,314,187,271,0
3483,0,71,157,122,272,2811
3484,287,116,0,160,2,20992
3485,745,245,162,186,472,1553
3486,1776,88,238,22,204,0
